K? n?ng m?m,??i s? tuy?n tính,Gi?i tích 1,Tin h?c ??i c??ng,V?t lý ?i?n t?,Gi?i tích 2,L?p trình nâng cao,Môn t? ch?n 1,Thi?t k? Web,Toán r?i r?c,C?u trúc d? li?u và gi?i thu?t,Ki?n trúc và t? ch?c máy tính,L?p trình h??ng ??i t??ng,Xác su?t th?ng kê,H? ?i?u hành,Công ngh? Java,C? s? d? li?u,Phân tích thi?t k? thu?t toán,X?p lo?i h?c t?p
B,D,D,F,B,B,D,C,C,D,C,C,D,D,D,B,B,B,Ch?a X?p Lo?i
B,C,B,D,C,D,B,B,D,C,D,C,C,D,B,A,D,B,Ch?a X?p Lo?i
B,B,B,A,B,B,C,C,C,A,D,D,C,C,B,A,C,B,Ch?a X?p Lo?i
B,B,B,C,A,A,D,B,C,D,C,C,A,C,C,D,C,B,Ch?a X?p Lo?i
C,C,B,A,B,B,A,C,A,D,B,C,B,A,C,B,B,B,Ch?a X?p Lo?i
B,B,C,D,B,D,B,B,D,D,C,D,A,C,C,A,B,B,Ch?a X?p Lo?i
D,D,C,D,C,B,C,B,C,D,B,C,D,C,C,A,B,B,Ch?a X?p Lo?i
A,D,C,D,D,D,D,C,C,D,C,C,C,B,B,B,D,C,Ch?a X?p Lo?i
C,C,C,B,D,C,B,B,B,C,B,D,C,A,D,A,B,A,Ch?a X?p Lo?i
C,B,C,B,B,B,C,B,C,D,D,D,A,A,A,B,B,A,Ch?a X?p Lo?i
C,D,D,D,C,C,B,C,D,D,D,C,D,D,C,B,C,B,Ch?a X?p Lo?i
B,C,B,C,B,C,D,B,D,C,C,D,B,C,A,A,B,A,Ch?a X?p Lo?i
C,D,B,D,D,C,D,C,D,D,C,D,D,D,C,B,D,C,Ch?a X?p Lo?i
D,C,D,D,C,D,F,C,F,C,F,0.6,F,D,F,0,D,B,Ch?a X?p Lo?i
B,D,C,F,B,D,C,B,C,C,D,C,C,C,D,A,C,A,Ch?a X?p Lo?i
C,C,B,C,C,A,A,B,A,B,A,B,A,A,A,A,B,A,Ch?a X?p Lo?i
A,B,B,C,B,A,C,B,C,C,B,B,B,A,A,A,B,A,Ch?a X?p Lo?i
C,A,D,A,B,B,C,B,C,C,D,C,A,C,D,A,C,B,Ch?a X?p Lo?i
B,C,D,A,B,A,D,B,B,B,A,B,B,B,B,B,B,A,Ch?a X?p Lo?i
B,C,C,C,C,B,C,B,D,D,B,D,B,B,B,B,C,B,Ch?a X?p Lo?i
B,D,C,B,B,D,D,B,A,C,D,D,B,D,D,0,B,A,Ch?a X?p Lo?i
D,D,C,D,A,D,C,A,A,C,C,C,A,D,B,B,C,A,Ch?a X?p Lo?i
B,B,B,A,A,A,A,A,B,C,B,A,A,C,B,B,B,A,Ch?a X?p Lo?i
D,A,C,A,B,A,B,A,A,A,B,C,A,B,B,B,B,A,Ch?a X?p Lo?i
B,B,B,B,B,B,B,A,C,C,C,C,A,D,B,B,B,A,Ch?a X?p Lo?i
B,D,D,F,C,A,D,B,0,F,0,F,C,D,D,0,F,D,Ch?a X?p Lo?i
D,B,C,C,D,A,B,B,B,B,A,C,B,B,A,A,A,B,Ch?a X?p Lo?i
C,B,D,D,C,C,D,B,F,C,B,D,C,C,C,0,D,A,Ch?a X?p Lo?i
C,C,B,D,C,B,D,C,B,B,D,D,D,D,D,B,B,C,Ch?a X?p Lo?i
C,B,C,B,A,A,C,C,C,C,C,C,B,A,A,A,B,A,Ch?a X?p Lo?i
C,B,B,B,B,B,D,B,A,B,B,C,A,B,B,B,B,A,Ch?a X?p Lo?i
A,C,C,D,F,D,C,B,D,B,F,C,F,B,D,C,C,D,Ch?a X?p Lo?i
C,C,C,D,C,C,D,B,D,C,B,D,D,D,C,0,B,C,Ch?a X?p Lo?i
D,D,D,C,B,B,C,B,C,C,C,C,A,C,B,B,C,B,Ch?a X?p Lo?i
C,C,C,C,C,A,D,A,D,D,D,D,D,C,C,B,B,B,Ch?a X?p Lo?i
C,C,D,A,B,C,C,C,F,F,D,D,C,D,D,F,D,D,Ch?a X?p Lo?i
C,A,B,C,A,B,C,B,D,C,C,B,D,C,A,A,B,A,Ch?a X?p Lo?i
C,D,D,D,D,C,D,B,C,D,D,D,D,D,C,B,C,D,Ch?a X?p Lo?i
D,B,C,B,C,B,D,B,C,D,D,D,B,F,C,B,D,F,Ch?a X?p Lo?i
C,B,D,A,A,A,D,B,B,C,B,C,B,C,A,A,B,B,Ch?a X?p Lo?i
C,C,C,B,C,D,D,B,D,C,B,B,C,C,B,B,C,B,Ch?a X?p Lo?i
C,D,D,C,F,C,F,B,F,D,D,C,C,D,B,0,C,C,Ch?a X?p Lo?i
C,B,B,B,B,A,A,A,C,C,B,B,B,B,A,A,A,A,Ch?a X?p Lo?i
C,B,B,B,A,A,D,B,D,C,C,D,C,A,C,C,B,D,Ch?a X?p Lo?i
C,B,D,A,C,D,C,B,C,C,D,C,B,D,A,B,B,A,Ch?a X?p Lo?i
B,D,D,C,D,F,D,C,D,F,D,D,B,D,B,0,D,D,Ch?a X?p Lo?i
C,D,C,D,C,D,C,C,C,D,D,D,D,C,D,A,D,C,Ch?a X?p Lo?i
C,A,B,B,C,C,C,B,A,C,D,D,C,B,C,A,B,B,Ch?a X?p Lo?i
B,C,D,C,C,A,D,B,D,C,D,B,D,C,C,B,C,B,Ch?a X?p Lo?i
C,B,B,B,C,C,C,B,C,C,D,C,B,B,C,A,B,B,Ch?a X?p Lo?i
B,B,B,C,A,B,D,B,C,B,C,D,A,D,B,B,C,B,Ch?a X?p Lo?i
B,D,D,D,C,B,C,B,A,D,D,C,B,C,B,B,C,B,Ch?a X?p Lo?i
D,C,C,D,D,D,D,B,C,D,C,D,D,D,B,B,F,B,Ch?a X?p Lo?i
C,C,B,D,B,A,D,C,B,B,C,C,D,C,B,C,C,A,Ch?a X?p Lo?i
B,D,D,D,B,D,C,B,A,C,D,C,B,D,C,A,D,B,Ch?a X?p Lo?i
B,D,C,D,B,D,C,A,D,B,B,D,D,B,C,B,B,B,Ch?a X?p Lo?i
B,D,A,A,B,A,C,C,B,B,C,D,B,C,C,B,C,B,Ch?a X?p Lo?i
B,B,C,A,C,C,A,A,A,A,A,A,A,C,A,A,A,A,Ch?a X?p Lo?i
B,B,D,A,D,C,B,B,B,B,D,B,F,C,C,B,B,B,Ch?a X?p Lo?i
B,A,A,B,A,B,A,A,B,A,A,A,B,B,A,A,A,A,Ch?a X?p Lo?i
B,D,C,B,A,D,C,B,F,C,D,D,B,C,D,C,D,C,Ch?a X?p Lo?i
C,A,A,C,A,B,A,C,A,B,B,B,B,D,B,B,B,B,Ch?a X?p Lo?i
B,C,B,B,A,B,B,B,B,B,C,C,B,A,A,B,A,A,Ch?a X?p Lo?i
B,B,D,C,D,C,D,A,B,D,D,D,D,D,D,C,D,B,Ch?a X?p Lo?i
B,C,D,C,D,C,B,B,D,C,C,D,C,D,D,0,C,C,Ch?a X?p Lo?i
B,C,D,A,C,C,A,C,C,C,D,C,B,D,C,B,F,B,Ch?a X?p Lo?i
D,D,D,D,C,C,D,C,D,D,D,F,F,D,D,C,D,B,Ch?a X?p Lo?i
A,A,A,C,A,A,A,B,C,A,D,A,A,B,A,B,A,A,Ch?a X?p Lo?i
B,C,D,F,C,B,F,B,F,F,C,F,D,B,D,B,C,C,Ch?a X?p Lo?i
B,B,B,A,C,B,A,A,A,C,B,C,A,A,B,A,C,B,Ch?a X?p Lo?i
D,C,B,C,B,B,A,D,C,C,C,B,B,B,B,A,A,B,Ch?a X?p Lo?i
B,A,B,D,B,B,C,B,D,B,C,C,C,C,B,B,D,B,Ch?a X?p Lo?i
C,B,B,B,C,B,B,B,B,A,B,B,B,B,A,A,A,A,Ch?a X?p Lo?i
B,B,B,A,A,B,A,A,B,C,B,B,A,B,A,B,C,A,Ch?a X?p Lo?i
D,C,C,D,C,D,D,D,C,C,C,D,B,C,D,B,C,B,Ch?a X?p Lo?i
C,B,C,D,B,B,B,C,C,C,C,C,B,D,B,B,D,B,Ch?a X?p Lo?i
B,C,C,C,B,C,A,B,B,C,B,C,A,D,D,C,C,A,Ch?a X?p Lo?i
C,D,D,B,D,C,A,B,B,D,B,C,A,D,A,B,C,B,Ch?a X?p Lo?i
B,C,C,A,D,A,B,C,C,C,C,C,D,D,F,C,B,B,Ch?a X?p Lo?i
B,D,C,D,B,B,B,B,D,D,B,C,C,D,D,B,D,C,Ch?a X?p Lo?i
A,B,D,A,C,B,D,C,C,D,B,C,B,D,C,B,C,B,Ch?a X?p Lo?i
B,A,C,B,B,B,A,A,C,C,B,C,A,B,B,A,B,A,Ch?a X?p Lo?i
B,B,B,D,D,D,D,C,D,C,C,C,D,D,D,C,B,C,Ch?a X?p Lo?i
