1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Decision
B,A,B,B,C,A,B,C,C,C,C,C,A,A,C,A,B,B,C,C,B,B,B,C,A,D,A,B,B,B,B,K
B,B,C,B,D,B,B,C,B,D,C,C,C,C,C,B,D,C,D,B,D,C,C,B,B,C,B,B,C,B,B,K
B,D,C,A,C,C,A,C,A,C,C,C,B,A,C,A,B,B,C,A,B,B,C,A,B,B,B,B,A,A,A,K
B,D,C,D,C,B,C,B,D,D,B,D,C,D,D,A,D,C,B,A,C,C,C,C,B,C,B,C,B,A,B,K
C,A,C,B,A,A,B,C,B,B,B,C,A,A,B,A,B,C,D,A,B,C,B,C,B,D,A,C,B,A,B,K
A,A,B,A,B,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,Xs
C,B,A,D,B,C,C,B,C,C,C,C,C,A,C,C,B,C,B,B,B,B,C,C,B,C,A,D,B,A,B,K
C,C,B,D,A,C,D,B,D,C,D,D,D,C,C,B,D,C,A,B,C,B,D,C,A,D,A,D,C,A,C,Tb
C,B,B,D,B,C,D,A,D,B,D,D,C,C,D,C,D,C,D,D,C,D,D,D,B,D,B,C,C,B,C,Tb
B,C,C,B,B,D,A,C,D,D,D,D,B,C,C,C,C,D,D,A,C,C,C,D,B,B,B,C,B,A,B,K
C,D,B,B,D,C,C,B,B,B,B,D,B,C,B,C,D,C,D,A,B,C,B,C,B,C,C,D,B,A,C,K
D,C,B,B,D,D,C,B,C,D,C,C,A,C,C,C,C,C,A,D,C,B,D,A,B,C,B,B,C,A,B,K
B,A,C,B,A,D,A,B,C,D,B,B,A,A,C,B,A,C,C,C,C,B,B,B,B,D,C,A,C,B,C,K
C,B,C,A,C,D,C,B,B,B,C,B,A,B,C,A,B,C,C,A,B,C,B,A,C,A,A,C,A,B,B,K
D,B,C,D,D,B,D,C,C,D,C,D,C,C,D,C,C,C,D,C,C,B,D,A,A,C,B,D,B,A,B,K
A,C,C,A,B,D,C,C,C,C,C,B,B,B,D,C,C,B,D,C,C,B,B,C,B,C,C,D,C,B,B,K
D,C,C,D,A,D,C,C,D,C,B,C,C,A,A,B,C,D,D,D,C,B,C,C,B,D,B,C,C,B,B,K
C,B,C,C,C,C,D,C,A,C,C,D,D,A,D,C,C,B,D,D,C,B,C,C,B,B,A,D,B,B,C,K
B,B,D,C,B,B,D,D,C,D,D,C,D,D,D,A,D,D,D,D,C,C,C,C,B,D,B,D,C,A,B,Tb
B,B,B,A,A,A,A,B,B,B,B,B,A,A,D,B,A,C,C,A,C,B,A,C,A,C,A,B,B,B,B,K
B,A,B,A,C,B,B,C,C,B,B,C,B,A,C,A,B,A,A,A,B,B,B,C,A,A,A,B,A,B,A,G
A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,C,A,B,A,A,A,A,B,Xs
B,B,C,C,B,A,D,C,C,C,B,D,B,D,D,A,C,C,B,D,B,D,C,B,C,D,A,D,A,A,B,K
B,C,D,C,C,C,D,C,C,C,A,D,C,C,C,C,C,D,B,B,C,C,C,B,C,D,B,B,C,B,C,K
B,A,C,A,D,D,C,A,B,C,D,B,C,B,A,A,B,C,B,A,C,C,B,C,A,C,A,B,C,A,B,K
B,D,B,D,B,D,B,C,C,B,C,D,C,D,D,B,D,C,C,A,B,C,C,C,B,B,B,B,A,A,B,K
B,D,C,A,A,B,B,B,A,C,C,B,A,D,A,A,B,B,B,A,B,B,B,A,A,D,A,B,A,B,A,K
A,A,A,A,B,B,A,A,C,B,A,B,B,A,B,A,A,C,B,A,D,C,B,A,A,B,A,C,A,B,A,G
B,D,C,C,B,C,A,B,C,D,C,D,B,B,B,B,B,C,C,A,B,C,B,B,B,B,A,D,A,A,A,K
A,C,B,A,D,C,D,C,D,A,B,D,B,D,A,A,A,B,B,A,C,B,B,C,B,A,A,B,A,A,C,K
C,A,A,A,C,A,C,C,D,A,C,B,A,A,A,B,B,A,A,A,C,C,B,B,B,B,B,C,A,A,B,G
B,B,C,A,C,C,A,C,A,B,B,C,A,A,A,A,B,B,B,B,B,C,C,A,B,A,A,A,A,A,A,G
C,D,B,C,C,B,A,B,D,C,B,C,B,B,A,C,B,B,B,A,A,C,C,B,B,A,A,A,A,A,B,K
B,C,C,C,B,C,C,B,B,B,D,B,A,C,B,D,C,C,B,A,C,B,C,A,A,C,A,C,B,A,A,K
C,C,C,B,A,A,D,B,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,C,B,A,A,A,A,A,A,Xs
B,D,C,A,D,D,D,C,B,D,D,C,B,C,D,C,D,D,C,B,B,C,D,B,B,C,C,A,B,A,C,K
B,C,D,A,B,D,A,C,A,B,A,A,A,B,A,A,B,A,A,A,C,B,A,C,A,A,A,A,A,A,B,G
A,C,A,A,B,A,D,B,C,A,C,C,B,A,B,A,C,D,A,A,C,B,B,B,A,B,A,B,A,B,B,K
C,D,C,C,C,B,C,C,B,D,B,D,C,B,C,B,C,D,C,A,D,C,C,C,B,C,C,B,A,A,B,K
B,C,D,B,D,B,C,D,B,A,C,C,C,B,C,B,C,D,C,A,D,B,B,B,A,A,B,B,A,A,B,K
A,B,C,A,A,A,B,B,A,A,B,C,A,A,A,A,A,A,A,A,C,B,C,A,B,B,A,A,A,B,A,G
C,C,C,A,D,B,C,B,C,D,C,C,A,C,C,B,C,D,C,B,C,C,C,C,A,C,B,D,B,B,B,K
C,B,C,C,D,D,D,D,C,D,B,D,D,D,D,D,D,D,D,C,D,D,D,B,C,D,B,D,D,B,B,Tb
